cell,true_label,cluster
A19.MAA000581.3_10_M.1.1,brain pericyte,3
A19.MAA000926.3_9_M.1.1,astrocyte,11
A19.MAA000930.3_8_M.1.1,astrocyte,11
A19.MAA000944.3_9_M.1.1,oligodendrocyte,6
A2.B003277.3_39_F.1.1,oligodendrocyte,9
A2.B003290.3_38_F.1.1,endothelial cell,2
A2.MAA000560.3_10_M.1.1,astrocyte,11
A2.MAA000932.3_11_M.1.1,endothelial cell,10
A2.MAA000935.3_8_M.1.1,oligodendrocyte,1
A2.MAA000941.3_8_M.1.1,endothelial cell,10
A2.MAA000942.3_8_M.1.1,oligodendrocyte,15
A2.MAA000944.3_9_M.1.1,oligodendrocyte,6
A2.MAA001854.3_38_F.1.1,oligodendrocyte,17
A20.B003274.3_38_F.1.1,oligodendrocyte,1
A20.B003275.3_38_F.1.1,endothelial cell,2
A20.B003277.3_39_F.1.1,oligodendrocyte,15
A20.B003290.3_38_F.1.1,neuron,0
A20.MAA000550.3_10_M.1.1,oligodendrocyte precursor cell,4
A20.MAA000560.3_10_M.1.1,oligodendrocyte,14
A20.MAA000561.3_10_M.1.1,brain pericyte,3
A20.MAA000564.3_10_M.1.1,endothelial cell,2
A20.MAA000581.3_10_M.1.1,neuron,7
A20.MAA000926.3_9_M.1.1,brain pericyte,3
A20.MAA000944.3_9_M.1.1,neuron,7
A20.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,4
A21.B003275.3_38_F.1.1,endothelial cell,2
A21.B003277.3_39_F.1.1,oligodendrocyte,15
A21.B003290.3_38_F.1.1,oligodendrocyte,13
A21.MAA000424.3_11_M.1.1,endothelial cell,2
A21.MAA000560.3_10_M.1.1,astrocyte,11
A21.MAA000561.3_10_M.1.1,neuron,0
A21.MAA000581.3_10_M.1.1,endothelial cell,2
A21.MAA000925.3_9_M.1.1,oligodendrocyte,15
A21.MAA000926.3_9_M.1.1,astrocyte,11
A21.MAA000930.3_8_M.1.1,astrocyte,6
A21.MAA000944.3_9_M.1.1,endothelial cell,16
A21.MAA001894.3_39_F.1.1,oligodendrocyte,1
A21.MAA001895.3_38_F.1.1,oligodendrocyte,13
A22.B003275.3_38_F.1.1,endothelial cell,2
A22.MAA000424.3_11_M.1.1,endothelial cell,2
A22.MAA000560.3_10_M.1.1,astrocyte,19
A22.MAA000561.3_10_M.1.1,endothelial cell,16
A22.MAA000564.3_10_M.1.1,oligodendrocyte,15
A22.MAA000581.3_10_M.1.1,endothelial cell,16
A22.MAA000641.3_9_M.1.1,oligodendrocyte,15
A22.MAA000923.3_9_M.1.1,oligodendrocyte,15
A22.MAA000926.3_9_M.1.1,oligodendrocyte,15
A22.MAA000935.3_8_M.1.1,astrocyte,11
A22.MAA000940.3_8_M.1.1,oligodendrocyte,1
A22.MAA001895.3_38_F.1.1,brain pericyte,3
A3.B003290.3_38_F.1.1,endothelial cell,2
A3.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,4
A3.MAA000564.3_10_M.1.1,brain pericyte,3
A3.MAA000615.3_10_M.1.1,oligodendrocyte,1
A3.MAA000928.3_9_M.1.1,Bergmann glial cell,5
A3.MAA000930.3_8_M.1.1,oligodendrocyte,15
A3.MAA000932.3_11_M.1.1,endothelial cell,10
A3.MAA000944.3_9_M.1.1,astrocyte,11
A3.MAA001854.3_38_F.1.1,oligodendrocyte,1
A3.MAA001894.3_39_F.1.1,oligodendrocyte,14
A3.MAA001895.3_38_F.1.1,brain pericyte,3
A4.B003290.3_38_F.1.1,endothelial cell,2
A4.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,4
A4.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,4
A4.MAA000578.3_10_M.1.1,neuron,7
A4.MAA000615.3_10_M.1.1,oligodendrocyte,15
A4.MAA000641.3_9_M.1.1,oligodendrocyte,17
A4.MAA000902.3_11_M.1.1,oligodendrocyte,15
A4.MAA000930.3_8_M.1.1,oligodendrocyte,6
A4.MAA000932.3_11_M.1.1,endothelial cell,16
A4.MAA000942.3_8_M.1.1,endothelial cell,2
A4.MAA000944.3_9_M.1.1,oligodendrocyte,14
A4.MAA001894.3_39_F.1.1,astrocyte,11
A4.MAA001895.3_38_F.1.1,endothelial cell,2
A5.B003290.3_38_F.1.1,endothelial cell,2
A5.MAA000424.3_11_M.1.1,Bergmann glial cell,5
A5.MAA000560.3_10_M.1.1,astrocyte,11
A5.MAA000581.3_10_M.1.1,endothelial cell,2
A5.MAA000923.3_9_M.1.1,oligodendrocyte,1
A5.MAA000926.3_9_M.1.1,oligodendrocyte,15
A5.MAA000928.3_9_M.1.1,oligodendrocyte,17
A5.MAA000932.3_11_M.1.1,endothelial cell,10
A5.MAA000941.3_8_M.1.1,astrocyte,11
A5.MAA001845.3_39_F.1.1,endothelial cell,2
A5.MAA001895.3_38_F.1.1,endothelial cell,2
A6.B003290.3_38_F.1.1,endothelial cell,2
A6.B003728.3_56_F.1.1,oligodendrocyte,9
A6.MAA000550.3_10_M.1.1,oligodendrocyte,15
A6.MAA000560.3_10_M.1.1,astrocyte,11
A6.MAA000930.3_8_M.1.1,astrocyte,19
A6.MAA000932.3_11_M.1.1,endothelial cell,18
A6.MAA000935.3_8_M.1.1,oligodendrocyte,14
A6.MAA000942.3_8_M.1.1,neuron,0
A6.MAA000944.3_9_M.1.1,oligodendrocyte,6
A6.MAA001895.3_38_F.1.1,endothelial cell,2
A7.B003275.3_38_F.1.1,endothelial cell,16
A7.B003290.3_38_F.1.1,endothelial cell,18
A7.B003728.3_56_F.1.1,oligodendrocyte,6
A7.MAA000424.3_11_M.1.1,endothelial cell,2
A7.MAA000560.3_10_M.1.1,oligodendrocyte,15
A7.MAA000564.3_10_M.1.1,oligodendrocyte,15
A7.MAA000615.3_10_M.1.1,oligodendrocyte,1
A7.MAA000926.3_9_M.1.1,oligodendrocyte,15
A7.MAA000928.3_9_M.1.1,oligodendrocyte,15
A7.MAA000930.3_8_M.1.1,oligodendrocyte,15
A7.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,4
A7.MAA000935.3_8_M.1.1,oligodendrocyte,15
A7.MAA000940.3_8_M.1.1,neuron,0
A7.MAA000942.3_8_M.1.1,oligodendrocyte,15
A7.MAA000944.3_9_M.1.1,astrocyte,11
A7.MAA000947.3_9_M.1.1,oligodendrocyte,15
A7.MAA001845.3_39_F.1.1,endothelial cell,2
A7.MAA001894.3_39_F.1.1,oligodendrocyte precursor cell,4
A8.B003277.3_39_F.1.1,oligodendrocyte,15
A8.B003290.3_38_F.1.1,endothelial cell,2
A8.MAA000560.3_10_M.1.1,astrocyte,6
A8.MAA000615.3_10_M.1.1,oligodendrocyte precursor cell,4
A8.MAA000926.3_9_M.1.1,oligodendrocyte,15
A8.MAA000928.3_9_M.1.1,oligodendrocyte,12
A8.MAA000930.3_8_M.1.1,oligodendrocyte,15
A8.MAA000932.3_11_M.1.1,endothelial cell,16
A8.MAA000942.3_8_M.1.1,oligodendrocyte,15
A8.MAA000944.3_9_M.1.1,oligodendrocyte,15
A8.MAA001845.3_39_F.1.1,endothelial cell,16
A8.MAA001895.3_38_F.1.1,endothelial cell,10
A9.B003275.3_38_F.1.1,endothelial cell,2
A9.B003290.3_38_F.1.1,endothelial cell,2
A9.MAA000550.3_10_M.1.1,oligodendrocyte,15
A9.MAA000560.3_10_M.1.1,astrocyte,11
A9.MAA000923.3_9_M.1.1,oligodendrocyte,15
A9.MAA000926.3_9_M.1.1,oligodendrocyte,17
A9.MAA000930.3_8_M.1.1,astrocyte,11
A9.MAA000941.3_8_M.1.1,oligodendrocyte,15
A9.MAA000942.3_8_M.1.1,oligodendrocyte,15
A9.MAA000944.3_9_M.1.1,astrocyte,6
A9.MAA000947.3_9_M.1.1,oligodendrocyte,15
A9.MAA001845.3_39_F.1.1,endothelial cell,2
A9.MAA001894.3_39_F.1.1,astrocyte,11
A9.MAA001895.3_38_F.1.1,endothelial cell,2
B1.B003290.3_38_F.1.1,endothelial cell,2
B1.B003728.3_56_F.1.1,astrocyte,6
B1.MAA000560.3_10_M.1.1,oligodendrocyte,15
B1.MAA000641.3_9_M.1.1,oligodendrocyte,17
B1.MAA000923.3_9_M.1.1,oligodendrocyte,1
B1.MAA000930.3_8_M.1.1,oligodendrocyte,1
B1.MAA000932.3_11_M.1.1,endothelial cell,2
B1.MAA000940.3_8_M.1.1,neuron,0
B1.MAA001845.3_39_F.1.1,endothelial cell,2
B1.MAA001894.3_39_F.1.1,oligodendrocyte,15
B1.MAA001895.3_38_F.1.1,endothelial cell,2
B10.B003274.3_38_F.1.1,oligodendrocyte,6
B10.B003275.3_38_F.1.1,endothelial cell,16
B10.B003290.3_38_F.1.1,endothelial cell,16
B10.MAA000553.3_10_M.1.1,endothelial cell,16
B10.MAA000560.3_10_M.1.1,oligodendrocyte,1
B10.MAA000563.3_10_M.1.1,oligodendrocyte,1
B10.MAA000581.3_10_M.1.1,oligodendrocyte,4
B10.MAA000615.3_10_M.1.1,astrocyte,11
B10.MAA000902.3_11_M.1.1,oligodendrocyte precursor cell,12
B10.MAA000923.3_9_M.1.1,oligodendrocyte,1
B10.MAA001854.3_38_F.1.1,astrocyte,5
B10.MAA001894.3_39_F.1.1,oligodendrocyte,1
B11.B003275.3_38_F.1.1,endothelial cell,2
B11.B003290.3_38_F.1.1,endothelial cell,2
B11.MAA000560.3_10_M.1.1,astrocyte,11
B11.MAA000564.3_10_M.1.1,neuron,19
B11.MAA000581.3_10_M.1.1,endothelial cell,16
B11.MAA000615.3_10_M.1.1,oligodendrocyte,14
B11.MAA000923.3_9_M.1.1,oligodendrocyte precursor cell,4
B11.MAA000926.3_9_M.1.1,astrocyte,11
B11.MAA000932.3_11_M.1.1,endothelial cell,16
B11.MAA000935.3_8_M.1.1,oligodendrocyte,15
B11.MAA000940.3_8_M.1.1,oligodendrocyte,14
B11.MAA000941.3_8_M.1.1,neuron,7
B11.MAA001845.3_39_F.1.1,endothelial cell,10
B11.MAA001895.3_38_F.1.1,endothelial cell,16
B12.B003275.3_38_F.1.1,endothelial cell,2
B12.B003290.3_38_F.1.1,endothelial cell,16
B12.B003728.3_56_F.1.1,oligodendrocyte,12
B12.MAA000563.3_10_M.1.1,oligodendrocyte,15
B12.MAA000564.3_10_M.1.1,astrocyte,11
B12.MAA000581.3_10_M.1.1,neuron,7
B12.MAA000615.3_10_M.1.1,neuron,19
B12.MAA000923.3_9_M.1.1,oligodendrocyte precursor cell,4
B12.MAA000926.3_9_M.1.1,endothelial cell,16
B12.MAA000941.3_8_M.1.1,endothelial cell,18
B12.MAA000944.3_9_M.1.1,neuron,7
B12.MAA001845.3_39_F.1.1,brain pericyte,3
B13.B003275.3_38_F.1.1,endothelial cell,16
B13.B003290.3_38_F.1.1,oligodendrocyte,19
B13.MAA000561.3_10_M.1.1,brain pericyte,3
B13.MAA000581.3_10_M.1.1,endothelial cell,10
B13.MAA000615.3_10_M.1.1,neuron,19
B13.MAA000641.3_9_M.1.1,neuron,7
B13.MAA000923.3_9_M.1.1,oligodendrocyte,1
B13.MAA000926.3_9_M.1.1,oligodendrocyte,15
B13.MAA000928.3_9_M.1.1,Bergmann glial cell,5
B13.MAA000941.3_8_M.1.1,oligodendrocyte precursor cell,4
B14.B003275.3_38_F.1.1,endothelial cell,2
B14.B003290.3_38_F.1.1,endothelial cell,16
B14.MAA000581.3_10_M.1.1,endothelial cell,16
B14.MAA000926.3_9_M.1.1,oligodendrocyte,15
B14.MAA000944.3_9_M.1.1,oligodendrocyte precursor cell,4
B14.MAA001845.3_39_F.1.1,endothelial cell,2
B15.B003274.3_38_F.1.1,astrocyte,11
B15.B003275.3_38_F.1.1,endothelial cell,16
B15.B003290.3_38_F.1.1,endothelial cell,16
B15.MAA000560.3_10_M.1.1,oligodendrocyte,15
B15.MAA000581.3_10_M.1.1,endothelial cell,2
B15.MAA000902.3_11_M.1.1,oligodendrocyte,15
B15.MAA000926.3_9_M.1.1,astrocyte,1
B15.MAA000935.3_8_M.1.1,oligodendrocyte,15
B15.MAA000941.3_8_M.1.1,oligodendrocyte precursor cell,4
B15.MAA000942.3_8_M.1.1,oligodendrocyte,15
B15.MAA000944.3_9_M.1.1,oligodendrocyte,15
B16.B000621.3_56_F.1.1,oligodendrocyte,15
B16.B003290.3_38_F.1.1,neuron,0
B16.B003728.3_56_F.1.1,oligodendrocyte,0
B16.MAA000560.3_10_M.1.1,oligodendrocyte,15
B16.MAA000561.3_10_M.1.1,brain pericyte,3
B16.MAA000581.3_10_M.1.1,neuron,7
B16.MAA000923.3_9_M.1.1,oligodendrocyte,15
B16.MAA000942.3_8_M.1.1,oligodendrocyte,15
B17.B003275.3_38_F.1.1,endothelial cell,2
B17.MAA000560.3_10_M.1.1,oligodendrocyte,15
B17.MAA000561.3_10_M.1.1,endothelial cell,16
B17.MAA000581.3_10_M.1.1,brain pericyte,3
B17.MAA000641.3_9_M.1.1,Bergmann glial cell,5
B17.MAA000902.3_11_M.1.1,oligodendrocyte,15
B17.MAA000926.3_9_M.1.1,oligodendrocyte,1
B17.MAA000935.3_8_M.1.1,oligodendrocyte,15
B17.MAA000941.3_8_M.1.1,oligodendrocyte,15
B17.MAA000942.3_8_M.1.1,oligodendrocyte,15
B17.MAA000944.3_9_M.1.1,oligodendrocyte,15
B17.MAA001894.3_39_F.1.1,oligodendrocyte,19
B18.B003275.3_38_F.1.1,brain pericyte,3
B18.B003728.3_56_F.1.1,astrocyte,9
B18.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,12
B18.MAA000561.3_10_M.1.1,brain pericyte,3
B18.MAA000564.3_10_M.1.1,oligodendrocyte,15
B18.MAA000581.3_10_M.1.1,brain pericyte,3
B18.MAA000925.3_9_M.1.1,neuron,0
B18.MAA000926.3_9_M.1.1,oligodendrocyte,1
B18.MAA000942.3_8_M.1.1,oligodendrocyte,1
B18.MAA000944.3_9_M.1.1,endothelial cell,16
B19.B003275.3_38_F.1.1,endothelial cell,16
B19.B003728.3_56_F.1.1,astrocyte,11
B19.MAA000424.3_11_M.1.1,endothelial cell,2
B19.MAA000550.3_10_M.1.1,oligodendrocyte,15
B19.MAA000560.3_10_M.1.1,astrocyte,11
B19.MAA000561.3_10_M.1.1,brain pericyte,3
B19.MAA000564.3_10_M.1.1,oligodendrocyte,14
B19.MAA000581.3_10_M.1.1,brain pericyte,3
B19.MAA000923.3_9_M.1.1,oligodendrocyte,1
B19.MAA000926.3_9_M.1.1,oligodendrocyte,15
B19.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,4
B19.MAA000935.3_8_M.1.1,oligodendrocyte,15
B19.MAA000944.3_9_M.1.1,astrocyte,6
B19.MAA001894.3_39_F.1.1,oligodendrocyte,15
B2.B003290.3_38_F.1.1,endothelial cell,16
B2.B003728.3_56_F.1.1,astrocyte,6
B2.MAA000560.3_10_M.1.1,oligodendrocyte,15
B2.MAA000930.3_8_M.1.1,astrocyte,11
B2.MAA000932.3_11_M.1.1,endothelial cell,10
B2.MAA000935.3_8_M.1.1,oligodendrocyte,1
B2.MAA000941.3_8_M.1.1,oligodendrocyte,15
B2.MAA000942.3_8_M.1.1,oligodendrocyte,15
B2.MAA001845.3_39_F.1.1,endothelial cell,2
B2.MAA001854.3_38_F.1.1,neuron,7
B2.MAA001895.3_38_F.1.1,endothelial cell,2
B20.B003274.3_38_F.1.1,oligodendrocyte,1
B20.B003275.3_38_F.1.1,endothelial cell,10
B20.B003290.3_38_F.1.1,endothelial cell,2
B20.B003728.3_56_F.1.1,oligodendrocyte,15
B20.MAA000424.3_11_M.1.1,endothelial cell,16
B20.MAA000561.3_10_M.1.1,brain pericyte,3
B20.MAA000564.3_10_M.1.1,endothelial cell,10
B20.MAA000581.3_10_M.1.1,brain pericyte,3
B20.MAA000925.3_9_M.1.1,neuron,0
B20.MAA000930.3_8_M.1.1,endothelial cell,16
B20.MAA000932.3_11_M.1.1,endothelial cell,19
B20.MAA000944.3_9_M.1.1,astrocyte,11
B20.MAA001895.3_38_F.1.1,oligodendrocyte,13
B21.B003290.3_38_F.1.1,neuron,0
B21.B003728.3_56_F.1.1,oligodendrocyte,6
B21.MAA000560.3_10_M.1.1,neuron,19
B21.MAA000581.3_10_M.1.1,neuron,7
B21.MAA000925.3_9_M.1.1,astrocyte,6
B21.MAA000926.3_9_M.1.1,oligodendrocyte,15
B21.MAA000930.3_8_M.1.1,astrocyte,11
B21.MAA000941.3_8_M.1.1,oligodendrocyte,15
B21.MAA000944.3_9_M.1.1,oligodendrocyte,15
B22.B003275.3_38_F.1.1,endothelial cell,10
B22.B003290.3_38_F.1.1,neuron,0
B22.B003728.3_56_F.1.1,astrocyte,11
B22.MAA000564.3_10_M.1.1,oligodendrocyte,1
B22.MAA000581.3_10_M.1.1,endothelial cell,2
B22.MAA000925.3_9_M.1.1,astrocyte,6
B22.MAA000926.3_9_M.1.1,oligodendrocyte,15
B22.MAA000930.3_8_M.1.1,oligodendrocyte,15
B22.MAA000932.3_11_M.1.1,oligodendrocyte,1
B22.MAA000935.3_8_M.1.1,astrocyte,11
B22.MAA000940.3_8_M.1.1,oligodendrocyte,15
B22.MAA000944.3_9_M.1.1,endothelial cell,16
B22.MAA001895.3_38_F.1.1,oligodendrocyte,13
B3.B003277.3_39_F.1.1,oligodendrocyte,9
B3.MAA000550.3_10_M.1.1,oligodendrocyte,15
B3.MAA000560.3_10_M.1.1,astrocyte,11
B3.MAA000564.3_10_M.1.1,oligodendrocyte,15
B3.MAA000581.3_10_M.1.1,oligodendrocyte,1
B3.MAA000930.3_8_M.1.1,endothelial cell,10
B3.MAA000932.3_11_M.1.1,oligodendrocyte,9
B3.MAA000935.3_8_M.1.1,astrocyte,11
B3.MAA001856.3_39_F.1.1,Bergmann glial cell,5
B3.MAA001894.3_39_F.1.1,oligodendrocyte,1
B3.MAA001895.3_38_F.1.1,brain pericyte,3
B4.B003275.3_38_F.1.1,brain pericyte,3
B4.B003290.3_38_F.1.1,endothelial cell,2
B4.MAA000560.3_10_M.1.1,endothelial cell,16
B4.MAA000563.3_10_M.1.1,oligodendrocyte,15
B4.MAA000615.3_10_M.1.1,oligodendrocyte,1
B4.MAA000926.3_9_M.1.1,astrocyte,11
B4.MAA000930.3_8_M.1.1,astrocyte,11
B4.MAA000932.3_11_M.1.1,endothelial cell,18
B4.MAA000935.3_8_M.1.1,astrocyte,11
B4.MAA000941.3_8_M.1.1,astrocyte,6
B4.MAA000944.3_9_M.1.1,oligodendrocyte,15
B4.MAA001845.3_39_F.1.1,endothelial cell,10
B4.MAA001894.3_39_F.1.1,oligodendrocyte,15
B5.B003290.3_38_F.1.1,endothelial cell,16
B5.MAA000560.3_10_M.1.1,oligodendrocyte,15
B5.MAA000564.3_10_M.1.1,oligodendrocyte,15
B5.MAA000581.3_10_M.1.1,astrocyte,8
B5.MAA000641.3_9_M.1.1,oligodendrocyte,17
B5.MAA000923.3_9_M.1.1,oligodendrocyte,1
B5.MAA000926.3_9_M.1.1,astrocyte,11
B5.MAA000932.3_11_M.1.1,endothelial cell,16
B5.MAA000942.3_8_M.1.1,oligodendrocyte,15
B5.MAA000944.3_9_M.1.1,astrocyte,11
B5.MAA001845.3_39_F.1.1,endothelial cell,3
B5.MAA001894.3_39_F.1.1,oligodendrocyte,1
B5.MAA001895.3_38_F.1.1,endothelial cell,18
B6.MAA000560.3_10_M.1.1,oligodendrocyte,1
B6.MAA000564.3_10_M.1.1,Bergmann glial cell,8
B6.MAA000581.3_10_M.1.1,oligodendrocyte precursor cell,4
B6.MAA000926.3_9_M.1.1,astrocyte,11
B6.MAA000930.3_8_M.1.1,astrocyte,1
B6.MAA000932.3_11_M.1.1,endothelial cell,2
B6.MAA000941.3_8_M.1.1,oligodendrocyte,15
B6.MAA000944.3_9_M.1.1,oligodendrocyte,15
B6.MAA001845.3_39_F.1.1,endothelial cell,2
B6.MAA001895.3_38_F.1.1,endothelial cell,16
B7.B003274.3_38_F.1.1,astrocyte,19
B7.B003277.3_39_F.1.1,oligodendrocyte precursor cell,4
B7.B003290.3_38_F.1.1,endothelial cell,2
B7.MAA000560.3_10_M.1.1,astrocyte,11
B7.MAA000563.3_10_M.1.1,oligodendrocyte,15
B7.MAA000564.3_10_M.1.1,oligodendrocyte,15
B7.MAA000615.3_10_M.1.1,astrocyte,11
B7.MAA000926.3_9_M.1.1,oligodendrocyte,15
B7.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,4
B7.MAA000935.3_8_M.1.1,endothelial cell,16
B7.MAA000941.3_8_M.1.1,oligodendrocyte,15
B7.MAA000942.3_8_M.1.1,neuron,0
B7.MAA000944.3_9_M.1.1,astrocyte,11
B7.MAA001845.3_39_F.1.1,endothelial cell,10
B7.MAA001895.3_38_F.1.1,endothelial cell,2
B8.B003274.3_38_F.1.1,astrocyte,8
